original_uri,author,text,uri
at://did:plc:3om2rrmtkdq2qsqjzibiaooo/app.bsky.feed.post/3m6awvzobyc2z,trasinscneach.bsky.social,"Well that was incredible! I did not expect them to go that hard!
#MyBloodyValentine #SpeirGorm",at://did:plc:3om2rrmtkdq2qsqjzibiaooo/app.bsky.feed.post/3m6awvzobyc2z
at://did:plc:3om2rrmtkdq2qsqjzibiaooo/app.bsky.feed.post/3m6anbsuchc2z,trasinscneach.bsky.social,"Support act just finished, now the wait for the main event woop woop! #MyBloodyValentine #SpeirGorm",at://did:plc:3om2rrmtkdq2qsqjzibiaooo/app.bsky.feed.post/3m6anbsuchc2z
at://did:plc:56aoxjem4pjvtqsscuhq223t/app.bsky.feed.post/3m6am4ts6ik2e,rogerokeeffe.bsky.social,"Is this Black Friday Week Weekend?

#confused #speirgorm",at://did:plc:56aoxjem4pjvtqsscuhq223t/app.bsky.feed.post/3m6am4ts6ik2e
at://did:plc:imdb5lnqdvuployv2wxfgdms/app.bsky.feed.post/3m6alahrzmk2a,darylfeehely.com,"Rassie giving the finger to the crowd at the Aviva on the final whistle. Scumbag.

#Speirgorm",at://did:plc:imdb5lnqdvuployv2wxfgdms/app.bsky.feed.post/3m6alahrzmk2a
at://did:plc:5lalgxnyfxas34qyb3u4dp4u/app.bsky.feed.post/3m6agcbyu3k2e,cjamcmahon.bsky.social,really learning a lot more about rugby today because I'm watching it in slow motion on RTÉ Player #speirgorm,at://did:plc:5lalgxnyfxas34qyb3u4dp4u/app.bsky.feed.post/3m6agcbyu3k2e
at://did:plc:iecysrzsqba4uhev4v7r5py7/app.bsky.feed.post/3m6ab6jzukc2i,djwalker.bsky.social,"Colourful terrace of houses reflecting on the River Lee, The Marina, Cork 🇮🇪 

#photography
#nature
#landscape
#winter
#river
#cork
#reflection
#EastCoastKin
#spéirgorm
#PhotoHour

🐕 🚶 📷 📱 📸",at://did:plc:iecysrzsqba4uhev4v7r5py7/app.bsky.feed.post/3m6ab6jzukc2i
at://did:plc:xwjlw3ygmqlbr5igkokbkzfn/app.bsky.feed.post/3m67yikhj622m,oisinmcgann.bsky.social,"Something for all the children’s books fans out there, but especially in Ireland!

#SpeirGorm",at://did:plc:xwjlw3ygmqlbr5igkokbkzfn/app.bsky.feed.post/3m67yikhj622m
at://did:plc:5l4vbxai2oe6axwbldoxxves/app.bsky.feed.post/3m67svrg7hk2d,quiltomancy.bsky.social,Is there an Irish Ken Burns ? I need a good historical documentary . #speirgorm,at://did:plc:5l4vbxai2oe6axwbldoxxves/app.bsky.feed.post/3m67svrg7hk2d
at://did:plc:iecysrzsqba4uhev4v7r5py7/app.bsky.feed.post/3m67rzmuw5c2r,djwalker.bsky.social,"Black Bridge, Rochestown, Cork 🇮🇪 

#photography
#nature
#landscape
#winter
#train
#railway
#EastCoastKin
#spéirgorm
#PhotoHour

🐕 🚶 📷 📱 📸 🚂 ☁️",at://did:plc:iecysrzsqba4uhev4v7r5py7/app.bsky.feed.post/3m67rzmuw5c2r
at://did:plc:wk4vbtn77njhk4mlohgewj2m/app.bsky.feed.post/3m67phfmquk2w,caroleducky.bsky.social,"‘They're highly educated but some are hugely controversial – how the 10 Burke siblings are making their way in the world.’

www.independent.ie/irish-news/t...

#SpeirGorm",at://did:plc:wk4vbtn77njhk4mlohgewj2m/app.bsky.feed.post/3m67phfmquk2w
at://did:plc:zxpoz5zgmanarg4h3rbq5tuq/app.bsky.feed.post/3m67np7xhcc2t,kerryanne123.bsky.social,"If you see this, post your getaway vehicle.
#speirgorm",at://did:plc:zxpoz5zgmanarg4h3rbq5tuq/app.bsky.feed.post/3m67np7xhcc2t
at://did:plc:har4i535fc7jres2p3oqsyay/app.bsky.feed.post/3m67nn3pgqz2e,allanartist.bsky.social,Shop Local this Christmas! #speirgorm #art #craft #christmas,at://did:plc:har4i535fc7jres2p3oqsyay/app.bsky.feed.post/3m67nn3pgqz2e
at://did:plc:eweyharmeuf3er35ejhbjp4o/app.bsky.feed.post/3m67ld5mfrc2v,frankoconnor.bsky.social,"""The new housing plan fails miserably to instil confidence this (vacancy & dereliction) epidemic will be eradicated ... plan lacks details, appropriate timeframes, & fails to include critical policy measures""

@judesherry.bsky.social & my latest piece in Irish Examiner

#DerelictIreland #SpeirGorm",at://did:plc:eweyharmeuf3er35ejhbjp4o/app.bsky.feed.post/3m67ld5mfrc2v
at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m67jd4yhq22d,rdisc0mb0bulate.bsky.social,"So, I fall back asleep and then wake up again to learn that I am in fact NOT in a relationship with Mae Martin. 

There’s my Saturday ruined! Ffs! 
#SpeirGorm",at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m67jd4yhq22d
at://did:plc:yqu2xn3pbp4lqibrahs4zb6f/app.bsky.feed.post/3m67hxzuruc2f,ellecontessa.bsky.social,"If you see this, post your getaway vehicle #speirgorm",at://did:plc:yqu2xn3pbp4lqibrahs4zb6f/app.bsky.feed.post/3m67hxzuruc2f
at://did:plc:tvwagmwteyuzfgkxwsqjvhya/app.bsky.feed.post/3m67gmaqoy22i,msmcglencree.bsky.social,"My very dirty #retreiver up before the lark!
#speirgorm #dogs #photography",at://did:plc:tvwagmwteyuzfgkxwsqjvhya/app.bsky.feed.post/3m67gmaqoy22i
at://did:plc:g2lpdme7nt4zwc7fq56gkugm/app.bsky.feed.post/3m67e4qdfjs2z,jdalton79.bsky.social,"Dublin,  you really showed up for us on our wedding day. 
Never doubted you x 💚 #Dublin #Speirgorm",at://did:plc:g2lpdme7nt4zwc7fq56gkugm/app.bsky.feed.post/3m67e4qdfjs2z
at://did:plc:gjsoejzm7at4syhrvzgizrev/app.bsky.feed.post/3m675nyh5hs2c,ainekeenan.bsky.social,"In another life
I would make you stay
So I don't have to say
You were the one that got away
The o-o-o-o-o-one
The o-o-o-o-o-one
The one that got away

Katy Perry, 21st century

#Photography #Poetry #SpeirGorm #StreetPhotography #ImageAndVerse #ArtOfBlueSky #PhotographersOfBlueSky #EastCoastKin",at://did:plc:gjsoejzm7at4syhrvzgizrev/app.bsky.feed.post/3m675nyh5hs2c
at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m674cvyjgk2r,rdisc0mb0bulate.bsky.social,"Middle is going to a birthday lunch for his friend today. At a restaurant!! 

If you also have a child who is neurodivergent, you can appreciate how huge a development this is! 
#SpeirGorm",at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m674cvyjgk2r
at://did:plc:aa5wpvxhuwxxznbdy4rsay2e/app.bsky.feed.post/3m66hqumpdk2y,elaineedwards.bsky.social,"Separately, here is some Friday night fluff. #Speirgorm #Cats",at://did:plc:aa5wpvxhuwxxznbdy4rsay2e/app.bsky.feed.post/3m66hqumpdk2y
at://did:plc:aa5wpvxhuwxxznbdy4rsay2e/app.bsky.feed.post/3m66hla73i22y,elaineedwards.bsky.social,Just catching the end of a 2010 concert on BBC4 with various artists performing Nick Drake songs. I know almost nothing about him except the odd song here and there. This is excellent if anyone can track it down again. #Speirgorm,at://did:plc:aa5wpvxhuwxxznbdy4rsay2e/app.bsky.feed.post/3m66hla73i22y
at://did:plc:uoenkmbrkyfqvvbwxdjsean5/app.bsky.feed.post/3m66gheebqc2r,imbibecoffee.bsky.social,I will never again share news space with My Bloody Valentine so this was nice. The new @foggynotions.bsky.social membership that’s mentioned is very much worth your time if you’re fan of live music and want to support independent promoters. #speirgorm,at://did:plc:uoenkmbrkyfqvvbwxdjsean5/app.bsky.feed.post/3m66gheebqc2r
at://did:plc:56aoxjem4pjvtqsscuhq223t/app.bsky.feed.post/3m66fyegapc2a,rogerokeeffe.bsky.social,"To me, this just sounds like every conversation ever between two or more Irish people.
#speirgorm

www.instagram.com/reel/DRNib2w...",at://did:plc:56aoxjem4pjvtqsscuhq223t/app.bsky.feed.post/3m66fyegapc2a
at://did:plc:36hqooiwcmgr3vfc4ovmi2bd/app.bsky.feed.post/3m662uoucwk2h,philipoconnor.bsky.social,"Small businesses!
Cut through the #BlackFriday & #BlackWeek noise. 
Reply to this post & I'll amplify what you're doing to the VERY fine people who follow me. 
Gonna start by recommending artists @ciaraioch.bsky.social & @anniewestdotcom.bsky.social & bookshop @kennysbookshop.bsky.social 
#SpeirGorm",at://did:plc:36hqooiwcmgr3vfc4ovmi2bd/app.bsky.feed.post/3m662uoucwk2h
at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m662efha3c25,rdisc0mb0bulate.bsky.social,"Whadd’ya mean it’s only 7.45pm!

I’m ready for the leaba now!!! 

I’m actually disappointed! 
#SpeirGorm",at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m662efha3c25
at://did:plc:63mlf5ayqa3qbmgddw4d4zsu/app.bsky.feed.post/3m6624wt7k22t,sullydaysleeper.bsky.social,I was trying to hold out putting on the heating for as long as poss but I think I need to accept the cold has beaten me & wave the white flag to the heating tonight 🥶🥶🥶 #Speirgorm,at://did:plc:63mlf5ayqa3qbmgddw4d4zsu/app.bsky.feed.post/3m6624wt7k22t
at://did:plc:r4hqvnfuc2flfguavyrhcjgg/app.bsky.feed.post/3m65znn2fbc26,321kieran.bsky.social,"🚨If you💚 #IrishMusic go Follow this playlist now!
▶️3hrs+ of🔥incl
@saolsongs.bsky.social
@niallbreslin.bsky.social
@maykay.bsky.social
@florenceroad.bsky.social
@cmatbaby.bsky.social
@affectiontorent.bsky.social
@eamonbrady.bsky.social ++
open.spotify.com/playlist/4ur... #Speirgorm #IndieMusic",at://did:plc:r4hqvnfuc2flfguavyrhcjgg/app.bsky.feed.post/3m65znn2fbc26
at://did:plc:qywcmx577hlrhttfeurxgqp4/app.bsky.feed.post/3m65xsfamql2f,thriveabetes.bsky.social,"There's a cold weather snap coming our way 🥶
At least some of us can keep our gloves on when checking our glucose levels. 😁

#coldweather #meteireann #winter #itscoldoutside #brrrr #diabetes #ireland #diabetesireland #SpeirGorm",at://did:plc:qywcmx577hlrhttfeurxgqp4/app.bsky.feed.post/3m65xsfamql2f
at://did:plc:ro76qxmd6nel5b5p4262x5eq/app.bsky.feed.post/3m65xjblblk2s,lokideburca.bsky.social,"Nathan Gill, a former Wales Reform Wales Leader, MEP and cronie of Farage has been sentenced to 10.5 yrs for taking bribes from a Russian spy. 

Who is Cobalt?
Who's your front runner? 

#Ireland #Speirgorm",at://did:plc:ro76qxmd6nel5b5p4262x5eq/app.bsky.feed.post/3m65xjblblk2s
at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m65unsfb5s2y,sharrow.bsky.social,"Imagine having to go out of the country sent by the hse for endometriosis surgery and then have so much lack of follow up afterwards, you are at risk of having your leg removed. 

Ffs. 

FF & FG #supergluedpockets strikes again. 

#nocountryforwomenandgirls #speirgorm",at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m65unsfb5s2y
at://did:plc:mcb6n67plnrlx4lg35natk2b/app.bsky.feed.post/3m65ufrzksx2e,nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words (past 10min):
💨x5* - ukraine 🔓
💨x1* - democracy 🔓
💨x1* - gaza 🔓
💨x15 - swastikas
💨x14 - condemning
💨x13 - socialism
💨x12 - 28-point
💨x11 - nooses
💨x10 - gill
💨x9 - swastika
*🔓 = Unlocked Emergency Words (see img)

#ListenToBlackVoices

(Something not right? Reply!)",at://did:plc:mcb6n67plnrlx4lg35natk2b/app.bsky.feed.post/3m65ufrzksx2e
at://did:plc:5lalgxnyfxas34qyb3u4dp4u/app.bsky.feed.post/3m65uei5oms2i,cjamcmahon.bsky.social,"they say the arts are thriving in Ireland, but when was the last time we produced a poet capable of satirising a politician to death? #speirgorm",at://did:plc:5lalgxnyfxas34qyb3u4dp4u/app.bsky.feed.post/3m65uei5oms2i
at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m65u66bkyk2y,sharrow.bsky.social,"This is daft, esp when Irish law allows for couple to take either spouses surname, to double barrel them or to even go back an pick a name further back in either family.

The law is progressive, 'tradition' is not, nor is societal pressure.

#speirgorm",at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m65u66bkyk2y
at://did:plc:e2vdb3yylfvzgvlo3fi5mrkf/app.bsky.feed.post/3m65suokyok26,atticuspeirgorm.bsky.social,"'But the result, he said, showed it was not ""the size of the dog in the fight, it was the size of the fight in the dog"".""

#Justice #Speirgorm 

www.rte.ie/news/courts/...",at://did:plc:e2vdb3yylfvzgvlo3fi5mrkf/app.bsky.feed.post/3m65suokyok26
at://did:plc:aozsf6n4ii7kftvlsr2yvfhq/app.bsky.feed.post/3m65slkzfsk2h,orla-hegarty.bsky.social,"🔖 Must read

“On Environmental Democracy & the Collisons’ “Abundance-Verse”

a fact-packed response by Dr Andrew Jackson, UCD ..to the fact-free claims of John Collison’s Irish Times essay #Planning #Housing #Speirgorm @ucddublin.bsky.social @andrewlrjackson.bsky.social

elajucd.com/2025/11/21/o...",at://did:plc:aozsf6n4ii7kftvlsr2yvfhq/app.bsky.feed.post/3m65slkzfsk2h
at://did:plc:flpf3rksopl7zx2tbgsyjv7m/app.bsky.feed.post/3m65schcuq226,nicolahorgan.bsky.social,"Petition to set up a national database to stop utility/charity callers - I will NEVER discuss finances with a stranger on my doorstep. Much less at this hour nor with one who tries to engage with how my doorbell works as the heat whooshes past us both
🙈
#Speirgorm",at://did:plc:flpf3rksopl7zx2tbgsyjv7m/app.bsky.feed.post/3m65schcuq226
at://did:plc:jaghk4rwlrciav5aieckiiit/app.bsky.feed.post/3m65s6t2ixs26,andyscollick.bsky.social,"Ireland can afford to be ""neutral"" because we know that when war breaks out and the Russians target Ireland's strategic infrastructure* we will be defended by NATO for free. We will not have to pay €1 for it. That's Irish freeloading ""neutrality"" for you. #speirgorm #spéirgorm #spéirghorm",at://did:plc:jaghk4rwlrciav5aieckiiit/app.bsky.feed.post/3m65s6t2ixs26
at://did:plc:bsrcpmo5lurlbhy36f24aowm/app.bsky.feed.post/3m65rgixx2s23,hilarylennon.bsky.social,"I don't get your first point. Re the second point, again, I received campaign material with my name and home address on the envelope, and I was informed that anyone could put in a request to buy a copy of the electoral register list. #SpeirGorm",at://did:plc:bsrcpmo5lurlbhy36f24aowm/app.bsky.feed.post/3m65rgixx2s23
at://did:plc:wpvwcjuhrpr5tjnhy3vp24ly/app.bsky.feed.post/3m65k6boy7c2e,fhayesmccoy.bsky.social,"Run, don't walk. She's fabulous.

#Spéirgorm",at://did:plc:wpvwcjuhrpr5tjnhy3vp24ly/app.bsky.feed.post/3m65k6boy7c2e
at://did:plc:bjovrbtmnlckoh6vaalnqjzi/app.bsky.feed.post/3m65i2zq2wc2b,lisagrimm.com,"Oh, and cold weather-related self-promotion - don't forget we have a handy list of our fave Dublin pubs with fireplaces! 

#SpeirGorm

www.weirdodublinpubs.com/weirdo-guide...",at://did:plc:bjovrbtmnlckoh6vaalnqjzi/app.bsky.feed.post/3m65i2zq2wc2b
at://did:plc:ofmkl4k2ybutv5b3xpmuq36h/app.bsky.feed.post/3m65gix75o22e,limerick4inarow.bsky.social,"We all know..

#speirgorm",at://did:plc:ofmkl4k2ybutv5b3xpmuq36h/app.bsky.feed.post/3m65gix75o22e
at://did:plc:rd67s5mrnrwg5bqhvzft2kgv/app.bsky.feed.post/3m65e3phutk24,sellybeth.bsky.social,"My specific recommendation is www.rainbowkidsboutique.ie but really, go spend your money at any small business or there won't be any left.

#SpéirGhorm #SpéirGorm",at://did:plc:rd67s5mrnrwg5bqhvzft2kgv/app.bsky.feed.post/3m65e3phutk24
at://did:plc:wzelpzmv2b3oudwhkcpr2s6n/app.bsky.feed.post/3m65djm3gvc2k,drmarymcauliffe.bsky.social,That’s how you deal with the Healy Raes - well done Jennifer Whitmore - they do not represent all Kerry people or indeed all rural people! #speirgorm www.facebook.com/share/r/1X32...,at://did:plc:wzelpzmv2b3oudwhkcpr2s6n/app.bsky.feed.post/3m65djm3gvc2k
at://did:plc:p3ajfs5yqzh6anrao6r73nho/app.bsky.feed.post/3m65ckxssyk2d,uplift.ie,"Eurovision song contest missing the mark. Its not about the voting, its about Israels ongoing genocide of the palestinian people.... Boycott Eurovision ✊️ Ban Israel from participating 

#Speirgorm 

jrnl.ie/6881740",at://did:plc:p3ajfs5yqzh6anrao6r73nho/app.bsky.feed.post/3m65ckxssyk2d
at://did:plc:laapn5mwj5oenlnezukis2k5/app.bsky.feed.post/3m65677i62c2e,theodonnell.bsky.social,"This is bananas #speirgorm 

How tf can a judge award €6k? What's the owner supposed to do? Train the cat 😂",at://did:plc:laapn5mwj5oenlnezukis2k5/app.bsky.feed.post/3m65677i62c2e
at://did:plc:wpvwcjuhrpr5tjnhy3vp24ly/app.bsky.feed.post/3m64z7zvspk2x,fhayesmccoy.bsky.social,"I did not imagine nearly fifty years ago that tomorrow I'd be doing this 

#Spéirgorm #Irishwriting @dinglelit.bsky.social @gaiabanks.bsky.social",at://did:plc:wpvwcjuhrpr5tjnhy3vp24ly/app.bsky.feed.post/3m64z7zvspk2x
at://did:plc:rj54e4tn2c5l6kmuqotuahuv/app.bsky.feed.post/3m64yztlyck23,pnamblath.bsky.social,"#OTD 21 Nov 1920 - Bloody Sunday- 14 spectators killed at Croke Park 
#speirgorm #IrishHistory
www.rte.ie/news/2020/11...",at://did:plc:rj54e4tn2c5l6kmuqotuahuv/app.bsky.feed.post/3m64yztlyck23
at://did:plc:aozsf6n4ii7kftvlsr2yvfhq/app.bsky.feed.post/3m64w3q3n722i,orla-hegarty.bsky.social,"“NIMBY”(not in my back yard) is word used to malign or disparage people who participate in democracy

People are advised to distance themselves from it.Shaming & excluding people from active citizenship & open engagement is counterproductive #Speirgorm #Planning www.researchgate.net/publication/...",at://did:plc:aozsf6n4ii7kftvlsr2yvfhq/app.bsky.feed.post/3m64w3q3n722i
at://did:plc:dnvpi77gppcosuglhn7nngk3/app.bsky.feed.post/3m64vywkhnk2p,eslsys.bsky.social,"What's going on with the recent, media assisted, full court press on infrastructure and democratic, legal rights to object?

It can't be data centres. Is it some defence commitments given our neutrality is under fire in parallel? #SpeirGorm 

www.businesspost.ie/politics/sen...

archive.ph/59AaY",at://did:plc:dnvpi77gppcosuglhn7nngk3/app.bsky.feed.post/3m64vywkhnk2p
at://did:plc:wl6hu2taknxe2igvmaq53fwu/app.bsky.feed.post/3m64vlilub22a,gylesnamopaleen.bsky.social,"We have 101+ years of data on how disastrous british rule has been, economically & societally, in NI. It's been a basket case for decades. 

Then, along comes brexit, which accidentally gave us an insight into what an All-Ireland economy might be like. 

GRMA (thanks) Brexit!   #spéirgorm",at://did:plc:wl6hu2taknxe2igvmaq53fwu/app.bsky.feed.post/3m64vlilub22a
at://did:plc:dnvpi77gppcosuglhn7nngk3/app.bsky.feed.post/3m64vhxobik2p,eslsys.bsky.social,It does seem FFG has started down the path to authoritarianism like some of our neighbours. The mask has slipped. Very worrying times . #SpeirGorm,at://did:plc:dnvpi77gppcosuglhn7nngk3/app.bsky.feed.post/3m64vhxobik2p
at://did:plc:wzelpzmv2b3oudwhkcpr2s6n/app.bsky.feed.post/3m64s4jckrk2k,drmarymcauliffe.bsky.social,"So i did this #TedX talk in October in Tralee -a different way of communicating for me- it was a nerve-wracking but fascinating experience, & met some wonderfully diverse speakers on the day. Hope it gets more notice for the Irish 🇮🇪 revolutionary women #tedxtralee #speirgorm youtu.be/FLRIKMiJ5Qc?...",at://did:plc:wzelpzmv2b3oudwhkcpr2s6n/app.bsky.feed.post/3m64s4jckrk2k
at://did:plc:aiehoh3c2rdg2uowosdenjbz/app.bsky.feed.post/3m64rb6k2z227,eoghan.bsky.social,"It's occurred to me that Irish English has a clatter of words for referring to a rake of things. There's a whole skite of them, and you can use a lock of different terms and people will know what you mean
#spéirgorm",at://did:plc:aiehoh3c2rdg2uowosdenjbz/app.bsky.feed.post/3m64rb6k2z227
at://did:plc:jbhj5ol5wizphulra3kmq6kp/app.bsky.feed.post/3m64qf2lp5s2j,siobhandowling.bsky.social,"It seems I haven't been to ""The Point"" since before the Luas. I remember that long long walk back to civilization (aka bus). I think last time was Underworld in 2000.... 

So... If doors open at 6.30pm when does the band start? 

#SpeirGorm",at://did:plc:jbhj5ol5wizphulra3kmq6kp/app.bsky.feed.post/3m64qf2lp5s2j
at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m64opshoqk24,rdisc0mb0bulate.bsky.social,"I bought Eldest tickets to see @briancoxtalks.bsky.social in the 3Arena (The Point to you and me!) for Christmas. 

Don’t breathe a word to him!! 
#SpeirGorm",at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m64opshoqk24
at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m64nngyqas24,rdisc0mb0bulate.bsky.social,"Good morning, #SpeirGorm

It’s Friday- FriYAY!! 

Another cold one, so wrap up warm and remember to book your diesel engine cars in to get those cold starts sorted. Usually it’s the glow plugs!",at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m64nngyqas24
at://did:plc:gjsoejzm7at4syhrvzgizrev/app.bsky.feed.post/3m64kegbx4c25,ainekeenan.bsky.social,"Take me to the river,
drop me in the water
Dip me in the river,
drop me in the water
Washing me down,
washing me down.

Talking Heads, 20th century

#Photography #Wisdom #Poetry #SpeirGorm #StreetPhotography #India #ImageAndVerse #ArtOfBlueSky #PhotographersOfBlueSky #EastCoastKin #Scape #WaterScape",at://did:plc:gjsoejzm7at4syhrvzgizrev/app.bsky.feed.post/3m64kegbx4c25
at://did:plc:flpf3rksopl7zx2tbgsyjv7m/app.bsky.feed.post/3m63ukwe2sk26,nicolahorgan.bsky.social,"Thoughts of Summer tix Keeping me warm on a cold night 
#speirgorm #joy",at://did:plc:flpf3rksopl7zx2tbgsyjv7m/app.bsky.feed.post/3m63ukwe2sk26
at://did:plc:iecysrzsqba4uhev4v7r5py7/app.bsky.feed.post/3m63tb7cfzs2p,djwalker.bsky.social,"Jupiter prominent in the night sky over Douglas, Cork 🇮🇪 

#photography
#nature
#landscape
#winter
#star
#nightsky
#jupiter
#EastCoastKin
#spéirgorm
#PhotoHour

🐕 🚶 📷 📱 📸 ✨ ⭐️ 🌌 🪐 🥶 ☁️",at://did:plc:iecysrzsqba4uhev4v7r5py7/app.bsky.feed.post/3m63tb7cfzs2p
at://did:plc:sju6sic4sz3jgpwrvbg355vf/app.bsky.feed.post/3m63qnlnlt222,katebielinski.bsky.social,"As much as I love this ad, November 20th is too early for it. #speirgorm",at://did:plc:sju6sic4sz3jgpwrvbg355vf/app.bsky.feed.post/3m63qnlnlt222
at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m63owvsd6s2e,rdisc0mb0bulate.bsky.social,"Are you following the #SpeirGorm tag too? I find I have to go between that, Mutuals and Following",at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m63owvsd6s2e
at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m63o4jlarc2t,sharrow.bsky.social,"For jayus sake, they are locking up the Butter these days. But only the #KerryGold #Aldi #speirgorm",at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m63o4jlarc2t
at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m63l7ig2j22q,slated.ie,"Spike is having a Spa evening.  Pedicure is go.

#SPIKE #rottweiler #dogsofbluesky #speirgorm 

#SLATED",at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m63l7ig2j22q
at://did:plc:jhndv2ueuu77qaiw5ivjkhx7/app.bsky.feed.post/3m63iqsghku2f,despod.bsky.social,"Eggs lovingly packaged by Dinny and Miley. 

All that's missing is a dab of liquid ammonia. 

#IYKYK #Speirgorm",at://did:plc:jhndv2ueuu77qaiw5ivjkhx7/app.bsky.feed.post/3m63iqsghku2f
at://did:plc:owtiovxdlxm4bp4hgnihapfe/app.bsky.feed.post/3m63fo6heps2l,martinamorrow.bsky.social,Is Enoch on the run? #speirgorm,at://did:plc:owtiovxdlxm4bp4hgnihapfe/app.bsky.feed.post/3m63fo6heps2l
at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m63envxp6s2j,rdisc0mb0bulate.bsky.social,"I stop in Aldi most evenings on the way home. Have a look at their reduced section and pick what I fancy making for dinner that eve. 

Reduced price and also reduced food waste as I only buy what I need on the day. 

Plus it suits my impulsive tendencies and my brain likes the challenge! 
#SpeirGorm",at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m63envxp6s2j
at://did:plc:zuesm37kihlrxtv7jkwsl2nb/app.bsky.feed.post/3m63cy2kxgc2v,docdok.bsky.social,"#speirgorm Bualadh Bas,!",at://did:plc:zuesm37kihlrxtv7jkwsl2nb/app.bsky.feed.post/3m63cy2kxgc2v
at://did:plc:lcczgcqfsgyocligu3ukzexx/app.bsky.feed.post/3m63b3c7muk2d,squeefulraven.bsky.social,"OMG OMG OMG! New Stargate Series announced, *Commence Fangirl Squeals!* have been a longtime fan and really hope this will be good!! 🙏 

#Stargate #NewSeries #ScienceFiction #GateWorld #SpéirGorm #SpeirGorm #LongtimeFan #RetroSciFi #SciFi #Amazon

www.gateworld.net/news/2025/11...",at://did:plc:lcczgcqfsgyocligu3ukzexx/app.bsky.feed.post/3m63b3c7muk2d
at://did:plc:wk4vbtn77njhk4mlohgewj2m/app.bsky.feed.post/3m637xcn52c2i,caroleducky.bsky.social,"Oh, ffs! 🙄

‘McGregor to sue Sky News for defamation over claims he was called a rapist by reporter after Nikita Hand case.’

www.independent.ie/irish-news/c...

#SpeirGorm",at://did:plc:wk4vbtn77njhk4mlohgewj2m/app.bsky.feed.post/3m637xcn52c2i
at://did:plc:6dnpwemduovd6rzfburfqbrt/app.bsky.feed.post/3m636ugqr3c2y,mmdc.bsky.social,#speirgorm,at://did:plc:6dnpwemduovd6rzfburfqbrt/app.bsky.feed.post/3m636ugqr3c2y
at://did:plc:bzjctancupmf6cbk3eazuenz/app.bsky.feed.post/3m636jddwg22c,rebelalliance77.bsky.social,"The mystery of Enochs disappearance, fittingly, has a biblical precedent. He has returned to his home planet. His people needed him.  

#Speirgorm",at://did:plc:bzjctancupmf6cbk3eazuenz/app.bsky.feed.post/3m636jddwg22c
at://did:plc:bsrcpmo5lurlbhy36f24aowm/app.bsky.feed.post/3m635mfdzpk2a,hilarylennon.bsky.social,"Are people still allowed purchase copies of the registered electorate list, with names and addresses included? Why do I receive campaign mail with my name and home address on the envelope? #SpeirGorm",at://did:plc:bsrcpmo5lurlbhy36f24aowm/app.bsky.feed.post/3m635mfdzpk2a
at://did:plc:hsami2xqnyvluahikcz2u6ca/app.bsky.feed.post/3m634svdsvc2t,beatingblog.bsky.social,"That's a cold one now. Am huddled by the radiator eating a pot noidle, much as I envision Enoch is, in some basement somewhere. #speirgorm",at://did:plc:hsami2xqnyvluahikcz2u6ca/app.bsky.feed.post/3m634svdsvc2t
at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m632rzvwqs2b,slated.ie,"There is nothing like cleaning up after a puking #rottweiler 

#dogsofbluesky #SLATED #Speirgorm",at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m632rzvwqs2b
